Customer_Age,Customer_Tenure,Order_Value,Items,Payment_Method,Shipping_Distance,Previous_Orders,Failed_Payments,Account_Age,Discount_Used,Express_Shipping,Device_Type,Is_Fraud
44,8,37231,9,3,2475,44,4,76,0,1,2,1
26,2,2263,1,0,2052,3,0,87,1,1,1,1
54,12,42683,1,1,808,69,4,28,0,1,0,1
50,1,34721,1,0,2832,44,4,19,0,1,0,1
68,1,17237,3,3,2551,57,4,48,0,1,0,0
59,14,32203,2,3,232,82,4,98,0,0,1,1
61,4,21932,3,2,2921,93,3,72,1,1,2,1
41,6,1968,5,3,750,22,2,34,0,0,2,0
32,13,49433,9,0,72,31,3,106,1,0,1,1
49,9,48436,2,3,2136,62,3,16,1,0,2,1
49,1,41962,1,0,528,92,0,71,0,1,2,0
41,12,19828,6,0,886,7,4,27,0,1,2,0
58,1,38106,3,2,2651,84,3,51,1,0,2,1
69,13,28129,7,0,2498,80,1,84,0,1,2,0
66,13,39957,6,3,2044,80,4,54,0,0,0,1
66,5,28283,7,3,2487,84,0,99,1,1,1,1
69,10,22885,5,3,1459,78,5,17,0,0,0,0
29,5,19040,1,0,2174,90,5,92,1,1,0,1
56,5,5380,3,3,563,24,0,72,1,0,1,0
19,10,37112,3,1,1997,32,1,68,0,0,0,0
20,6,2264,7,1,2897,65,5,97,1,0,2,1
66,8,27288,3,3,2913,15,0,114,0,1,0,0
54,3,48017,5,0,1660,54,5,86,1,0,1,1
66,9,14188,4,3,1564,35,4,95,1,0,0,0
34,13,18505,4,1,1989,71,2,1,0,1,2,0
66,1,2921,7,0,2972,79,2,105,0,1,1,0
19,4,22616,1,3,345,6,3,14,1,1,0,0
19,9,10573,7,0,2516,68,0,7,1,0,2,1
45,14,46554,8,3,2189,86,4,64,0,0,1,1
40,8,42630,3,2,1030,7,1,72,1,1,1,0
54,10,38837,3,0,2717,2,1,8,1,1,2,1
49,9,12278,4,1,2679,34,4,54,0,1,1,0
50,1,39036,6,1,1673,35,4,24,0,0,1,1
18,9,27118,7,1,1565,99,1,55,1,1,0,0
36,3,17197,1,1,1702,78,0,1,0,0,2,0
19,11,14196,4,3,798,29,5,99,1,1,0,0
61,12,40071,7,3,1120,14,3,105,1,0,0,1
43,10,3645,2,0,1913,92,3,72,1,1,0,0
49,9,24898,1,2,2263,67,3,69,0,0,2,0
23,1,963,1,2,743,97,4,32,0,0,1,0
49,1,16248,6,0,58,86,1,1,0,0,2,0
21,9,21109,5,1,906,57,1,66,1,1,1,0
28,11,17909,1,2,2453,98,1,42,1,0,2,1
34,14,18788,3,2,1208,27,5,110,1,1,1,0
55,6,753,7,0,2769,94,1,79,0,0,0,0
41,4,8229,9,1,783,41,1,106,1,0,0,0
22,7,26518,9,3,97,96,2,9,1,0,1,0
69,5,23218,6,3,587,17,5,76,1,1,0,0
51,10,543,3,2,1112,4,4,74,1,0,2,0
23,14,27141,1,3,2566,8,5,24,1,0,2,1
39,7,23943,3,0,2716,83,4,105,1,1,2,1
28,8,21153,2,2,1087,8,2,114,0,1,1,0
65,8,30948,5,2,541,17,3,19,0,0,1,1
33,1,37974,8,1,816,55,0,51,0,0,2,0
50,8,37304,5,3,2239,14,5,81,1,0,1,1
26,6,42340,1,1,917,78,4,2,0,0,2,1
23,4,35907,3,2,2764,77,4,10,1,0,0,1
33,13,28313,5,3,2587,61,2,69,1,1,0,1
46,14,8391,7,1,85,34,4,103,0,0,0,0
20,12,43146,5,3,1359,39,4,6,1,1,2,1
37,8,16385,5,2,2489,50,3,62,1,0,1,1
53,3,26986,7,2,2838,59,2,66,1,1,2,1
36,13,14044,8,2,1876,99,5,8,0,0,2,0
43,4,35605,8,0,2387,55,4,68,1,1,2,1
20,6,23440,7,1,1692,83,1,59,1,1,0,0
36,11,30125,3,1,1842,74,2,50,0,1,0,0
37,7,1707,2,2,1203,40,3,95,1,1,0,0
49,4,3053,1,1,1271,53,5,36,0,1,2,0
24,4,45041,6,2,1004,16,0,8,1,1,1,0
69,7,6033,9,1,674,24,4,95,0,0,1,0
58,6,11486,3,3,1699,92,1,17,0,0,1,0
50,13,48089,5,1,730,86,1,59,0,0,1,0
57,11,4782,9,2,317,8,0,110,1,1,1,0
56,8,47721,9,1,76,55,2,104,1,0,1,0
35,1,44152,7,3,974,88,3,78,1,0,2,1
57,10,11254,4,3,204,22,4,8,1,0,0,0
18,13,9147,2,3,2472,1,4,89,0,0,1,0
28,11,23093,2,2,1759,44,5,78,0,1,0,0
45,7,10438,4,0,193,64,4,87,0,0,2,0
42,12,14423,1,2,2945,37,1,43,1,0,1,1
67,7,37793,4,3,2829,5,2,105,1,1,0,1
40,11,23734,6,1,1463,47,0,63,0,0,2,0
48,7,26392,6,3,2349,43,2,81,0,1,2,0
47,7,38651,7,0,260,78,3,113,0,0,1,1
59,10,45211,5,0,2664,6,3,12,0,1,0,1
52,14,10017,9,3,432,65,0,84,0,0,1,0
24,10,10245,2,2,2764,61,1,98,0,0,1,0
33,8,29817,2,0,696,29,5,56,0,0,1,0
43,9,39591,4,3,198,92,0,49,0,0,1,0
65,9,49436,4,2,983,75,5,52,1,1,2,1
69,2,17005,4,1,39,51,3,11,0,0,2,0
66,13,30373,1,2,2757,97,1,27,0,0,2,0
19,13,26334,4,0,2519,93,2,62,1,0,0,1
18,7,13449,5,2,2127,35,3,9,1,1,1,1
65,7,1102,9,2,729,34,1,82,1,1,2,0
29,4,39134,3,1,684,65,1,102,1,1,2,0
22,9,32673,3,3,2091,49,4,36,1,0,2,1
54,8,27903,5,2,132,2,2,46,0,1,2,0
49,12,11430,6,1,2125,75,1,92,0,1,2,0
26,1,26604,3,0,1970,3,0,84,1,0,0,0
58,2,15080,1,3,39,54,5,118,1,1,0,0
52,13,7117,8,0,2199,51,2,106,0,1,0,0
36,13,41453,1,3,1443,58,2,29,1,1,1,0
65,2,16111,2,2,2366,70,3,68,0,1,0,0
33,12,18101,3,2,1488,19,2,79,1,0,0,0
20,12,17144,6,3,1456,18,2,41,0,1,1,0
37,11,38392,4,0,1527,7,4,108,1,1,0,1
41,8,5350,4,0,1293,66,2,28,1,1,0,0
50,1,40380,9,0,2485,26,5,64,1,1,0,1
41,4,23389,6,2,2675,78,5,104,1,0,2,1
69,10,33187,2,3,2599,7,5,24,1,0,2,1
28,12,10516,7,3,340,17,1,101,0,0,1,0
66,5,25259,3,0,1245,28,0,16,1,0,1,0
25,9,36468,9,2,658,45,5,22,1,0,1,1
53,7,5379,6,3,2966,35,4,47,0,1,1,0
55,8,25257,8,3,1700,2,4,17,1,1,1,0
57,14,15594,1,0,361,8,4,1,1,1,2,0
37,11,45266,2,0,1973,9,4,31,0,0,2,1
52,9,25674,6,3,2819,83,3,89,0,0,0,0
65,13,25433,3,2,2238,65,4,12,1,0,0,1
42,7,33150,1,1,2461,0,3,20,1,1,2,1
52,5,32363,6,3,329,90,3,19,1,0,2,1
42,13,32639,5,3,1800,3,2,5,1,0,0,0
46,5,14130,9,2,1246,47,0,15,0,1,0,0
35,10,22821,6,3,1868,95,2,105,0,0,1,0
63,11,48170,5,1,1710,17,3,25,0,1,0,1
35,6,5266,1,2,2140,77,2,35,1,0,2,1
19,5,7221,1,1,440,44,1,108,0,0,1,0
52,13,14777,1,1,2293,14,4,55,1,1,1,1
33,12,31341,7,3,2957,50,4,63,0,1,1,1
58,11,16473,6,1,1977,60,3,115,1,1,1,0
53,9,21973,5,3,833,3,2,47,0,0,2,0
50,3,37764,4,3,97,18,1,67,0,1,2,0
21,3,49382,8,2,2000,87,1,116,0,0,0,0
50,7,1393,8,2,938,93,5,82,0,1,0,0
31,7,22543,5,2,1501,76,1,64,0,0,2,0
38,6,39825,4,3,1290,10,3,22,1,1,2,1
65,3,49312,2,1,575,27,5,80,0,1,0,1
37,14,18695,7,1,2151,56,2,79,0,0,2,0
25,13,9840,5,2,829,74,1,69,0,1,2,0
24,7,12659,3,2,513,53,1,106,1,1,1,0
20,5,42841,9,3,666,64,2,106,1,0,2,0
34,7,39144,9,0,1517,46,2,77,1,0,1,0
50,2,21847,8,0,1285,3,4,114,0,0,2,0
65,6,41020,1,3,2083,33,0,92,0,0,0,0
29,14,8073,3,0,1405,75,0,74,0,1,2,0
68,8,15433,2,0,397,53,1,80,0,1,2,0
39,1,30229,4,0,2075,87,2,2,1,0,0,1
39,4,137,2,2,1932,60,4,114,1,0,0,0
63,11,38858,8,1,1886,95,3,100,0,0,0,1
47,1,32411,1,1,2354,82,0,115,0,1,2,0
55,14,38306,4,2,2747,92,5,25,0,1,0,1
55,1,48603,5,2,1695,92,0,61,0,0,2,0
62,10,28307,4,2,581,82,2,5,0,1,0,0
68,12,43724,8,0,2213,19,3,28,0,0,2,1
25,14,33341,2,3,102,2,0,81,0,1,0,0
44,14,158,9,3,455,39,4,66,1,1,0,0
44,11,2736,2,0,193,68,0,15,0,1,1,0
51,8,30735,2,0,2964,22,2,55,0,0,2,0
38,7,14934,2,2,898,68,2,38,0,0,0,0
47,12,15677,8,2,810,93,5,93,1,0,2,0
50,10,27290,3,1,299,31,5,23,1,1,0,0
45,13,7396,8,2,21,23,3,82,0,1,2,0
64,1,21483,7,0,45,50,0,14,0,0,2,0
50,11,45538,4,1,2544,57,3,32,1,0,2,1
22,14,24760,7,2,683,41,0,44,1,0,1,0
65,13,42593,8,1,1714,34,1,70,1,1,2,0
36,2,2774,6,1,2271,31,0,92,1,1,0,1
21,4,48664,6,2,299,53,2,118,1,1,1,0
52,1,43933,3,3,1362,44,2,116,1,1,2,0
66,3,22920,5,0,288,47,1,116,0,0,0,0
34,8,19604,2,0,517,85,0,82,1,1,2,0
61,8,25766,5,1,2946,84,0,99,0,0,1,0
45,8,43894,5,3,2202,91,2,58,0,1,0,0
47,6,2176,7,3,2329,48,1,102,0,0,0,0
46,6,37655,4,2,2482,33,2,4,1,0,0,1
63,5,32506,6,2,342,15,1,115,0,1,1,0
23,13,40362,9,0,86,10,2,62,1,1,0,0
52,9,25884,4,2,2827,96,4,113,0,1,2,0
58,4,21225,6,2,191,18,0,60,1,1,2,0
54,10,23316,9,1,1092,91,3,95,1,0,0,0
41,12,2681,1,3,1170,28,4,75,1,1,1,0
46,12,15700,8,3,991,53,2,110,1,1,0,0
66,12,30384,1,2,876,52,1,59,1,1,0,0
63,7,20271,4,2,1948,66,3,75,1,1,0,0
48,1,25191,3,2,1852,81,1,29,0,1,2,0
52,9,14433,4,0,2710,81,5,19,0,1,2,0
50,7,30635,7,0,2622,75,1,17,1,0,1,1
69,10,23587,9,1,1279,81,5,4,0,0,1,0
38,12,10504,9,0,2179,31,5,44,1,0,1,1
49,9,44034,1,3,839,99,0,4,0,1,2,0
40,7,33800,1,0,959,82,2,59,1,0,2,0
50,2,18147,9,3,1401,55,0,12,0,1,2,0
20,6,41616,4,0,1556,62,5,113,0,0,2,1
35,10,15677,3,0,1223,3,1,47,1,0,1,0
42,12,24398,9,1,839,10,0,7,1,1,2,0
59,11,15115,5,2,2269,2,4,85,1,0,1,1
48,4,25668,6,2,2044,26,5,97,1,1,2,1
20,3,48976,1,2,1434,79,1,101,0,1,0,0
57,2,26304,1,1,2691,43,1,12,1,0,1,1
63,6,31848,7,3,1169,17,4,71,1,0,1,1
41,8,26367,8,0,2536,29,1,54,0,0,2,0
67,6,21336,8,1,2900,87,3,58,1,0,1,1
49,9,32715,7,3,2402,69,3,63,1,0,0,1
64,14,1204,9,1,948,46,2,15,1,1,1,0
39,5,17754,1,1,161,33,2,37,1,0,1,0
40,2,45804,2,3,464,75,0,56,1,1,0,0
19,8,42469,3,2,2263,41,0,73,0,1,2,0
44,9,3746,5,0,2628,22,4,97,1,1,2,1
59,14,21571,4,2,1976,99,4,102,0,0,0,0
19,10,26006,4,1,1216,39,5,80,1,0,1,0
43,4,21207,8,3,2536,14,1,31,0,0,2,0
34,6,47828,8,1,2273,79,2,15,0,1,2,0
57,11,14978,7,2,709,56,5,2,0,0,2,0
50,10,9245,1,2,161,13,2,13,0,0,0,0
26,8,23142,4,2,1785,78,2,5,1,0,0,0
60,9,18326,1,0,1945,11,2,48,1,1,1,0
65,12,2902,5,2,2503,34,0,33,0,1,0,0
56,5,24219,3,0,2593,24,3,32,0,0,0,0
46,12,49233,3,0,2077,77,5,53,1,0,0,1
59,6,27285,4,2,767,1,4,106,1,0,2,0
43,11,6205,2,3,2028,17,4,112,0,1,0,0
52,4,2849,7,1,185,34,2,109,1,0,0,0
67,5,49842,4,1,1897,8,2,21,0,1,2,0
42,7,43049,5,0,2405,10,0,66,1,1,0,1
41,9,34229,2,0,2540,89,0,100,1,1,0,1
30,10,24612,6,0,733,66,4,61,0,1,2,0
24,11,36641,9,1,1856,68,2,54,1,1,1,0
53,13,13595,8,0,1622,95,2,97,1,1,0,0
62,6,2164,8,3,578,73,5,75,1,0,1,0
37,14,30178,2,3,2162,37,4,41,0,1,1,1
18,6,30111,4,0,378,69,0,87,1,1,1,0
25,8,5716,8,1,1309,74,5,38,1,1,2,0
63,11,8075,1,2,97,80,4,33,1,0,1,0
33,4,11060,8,1,842,58,0,104,1,1,2,0
31,3,28092,3,2,2172,65,0,8,1,1,0,1
29,14,21487,8,2,156,40,5,100,0,1,1,0
68,7,15424,6,0,2158,23,5,36,1,1,1,1
40,5,6343,7,3,53,49,0,33,1,0,1,0
32,2,32728,2,0,1703,4,2,29,0,1,0,0
45,2,9660,1,2,2636,20,4,95,0,1,0,0
51,11,47552,6,0,726,5,0,57,0,1,2,0
19,6,41198,3,2,1718,3,3,94,1,0,2,1
49,8,5023,4,0,1414,8,0,72,1,0,2,0
40,1,39335,9,3,45,68,0,61,0,1,2,0
39,11,21425,3,3,936,67,5,90,0,0,2,0
68,6,28049,2,1,1687,8,0,87,1,0,2,0
42,12,22921,2,2,1141,17,1,114,1,1,0,0
39,2,6176,2,2,2170,58,5,55,1,1,1,1
39,2,22132,6,0,2530,42,3,52,0,1,1,0
66,7,8101,2,1,2726,79,2,115,1,0,1,1
69,10,15403,7,3,1424,65,5,43,0,0,0,0
59,1,16557,7,0,1685,28,4,26,0,0,0,0
23,6,41543,7,1,500,47,4,116,0,0,2,1
32,14,12403,2,3,74,50,5,106,1,1,2,0
60,7,15228,7,0,2197,41,4,102,1,1,1,1
54,14,18380,8,3,1561,35,5,103,0,0,1,0
50,8,39527,8,2,892,75,2,2,0,1,0,0
25,7,31744,2,1,1890,44,0,55,1,1,0,0
61,6,38114,5,3,1078,97,3,90,0,1,1,1
61,9,7067,6,1,1247,34,4,18,0,0,0,0
22,13,6761,9,0,473,5,1,91,1,1,1,0
56,3,12516,6,1,1340,36,1,50,1,1,1,0
21,11,610,6,0,2218,35,3,81,1,0,1,1
23,6,41482,6,1,701,83,4,45,0,1,1,1
62,4,35300,9,0,2080,15,0,15,0,1,1,0
49,2,2006,7,0,53,71,4,107,1,0,1,0
69,1,25634,1,0,2988,21,0,7,1,1,1,1
47,12,48422,1,3,139,68,4,81,0,1,2,1
64,12,16548,4,2,1398,68,1,83,0,0,0,0
52,14,37796,2,1,2138,62,2,27,1,1,0,1
57,1,4810,3,2,828,74,5,40,1,1,1,0
69,11,44408,7,2,2084,18,3,17,1,0,0,1
33,10,38992,7,2,2977,80,0,32,1,0,2,1
30,3,40705,3,2,1249,17,2,16,0,0,0,0
67,4,15683,2,1,554,72,0,63,1,0,2,0
59,2,17284,1,1,740,16,3,94,0,0,2,0
47,13,24953,9,2,269,40,2,78,0,0,1,0
36,12,6209,3,1,910,32,2,118,1,0,0,0
34,11,42777,9,1,186,83,5,60,1,0,0,1
36,11,6759,4,0,869,54,5,114,0,1,2,0
45,14,1338,6,1,2472,81,3,105,0,0,1,0
43,11,15164,7,3,833,23,3,82,0,0,1,0
54,1,31215,6,2,1413,76,0,86,0,1,2,0
43,4,32052,1,1,2974,39,2,52,1,0,0,1
40,7,5720,6,2,1490,27,3,80,1,0,1,0
26,10,34354,6,1,2917,66,5,49,0,0,2,1
29,11,37549,5,2,1016,99,0,49,0,0,1,0
18,6,44358,3,3,442,74,4,80,1,1,2,1
18,6,4570,3,1,39,38,5,26,0,0,1,0
64,11,22103,7,1,2956,20,3,51,0,0,1,0
51,9,27671,8,3,1645,36,5,43,0,0,1,0
49,14,24768,3,1,1550,1,5,70,0,0,1,0
65,2,11823,3,2,166,5,2,115,0,1,2,0
42,4,46756,7,3,1936,51,4,71,0,0,1,1
57,5,31140,7,0,1469,4,3,9,1,1,0,1
62,1,40045,9,2,443,46,1,44,0,0,0,0
